iter	Passed	Remaining
402	14657	21713
403	14699	21685
404	14733	21645
405	14772	21612
406	14824	21598
407	14863	21565
408	14901	21532
409	14947	21510
410	14986	21477
411	15026	21445
412	15054	21397
413	15090	21360
414	15127	21324
415	15165	21289
416	15200	21251
417	15243	21223
418	15280	21188
419	15315	21150
420	15353	21115
421	15384	21071
422	15417	21031
423	15455	20996
424	15493	20961
425	15522	20915
426	15561	20881
427	15597	20845
428	15638	20814
429	15677	20782
430	15715	20747
431	15750	20708
432	15785	20670
433	15822	20634
434	15859	20599
435	15898	20566
436	15937	20533
437	15977	20500
438	16018	20470
439	16063	20444
440	16094	20401
441	16129	20362
442	16158	20317
443	16190	20274
444	16228	20239
445	16266	20205
446	16301	20167
447	16336	20129
448	16375	20095
449	16412	20060
450	16441	20013
451	16475	19974
452	16513	19940
453	16556	19911
454	16589	19870
455	16627	19835
456	16662	19797
457	16706	19771
458	16742	19733
459	16779	19698
460	16814	19659
461	16850	19621
462	16888	19588
463	16930	19557
464	16964	19518
465	17004	19486
466	17042	19451
467	17079	19415
468	17125	19389
469	17173	19366
470	17207	19326
471	17241	19287
472	17273	19245
473	17313	19212
474	17348	19175
475	17382	19135
476	17412	19091
477	17450	19056
478	17484	19017
479	17519	18979
480	17552	18939
481	17588	18901
482	17625	18865
483	17663	18831
484	17703	18798
485	17745	18767
486	17775	18725
487	17811	18687
488	17851	18654
489	17889	18619
490	17931	18588
491	17967	18551
492	18009	18520
493	18043	18482
494	18080	18446
495	18118	18411
496	18158	18377
497	18188	18334
498	18225	18298
499	18261	18261
500	18297	18224
501	18330	18184
502	18359	18140
503	18401	18109
504	18442	18077
505	18482	18044
506	18516	18005
507	18560	17975
508	18601	17943
509	18635	17904
510	18673	17869
511	18706	17829
512	18743	17793
513	18780	17757
514	18816	17720
515	18851	17682
516	18890	17647
517	18931	17615
518	18973	17584
519	19009	17547
520	19041	17506
521	19079	17471
522	19118	17436
523	19153	17398
524	19188	17361
525	19223	17322
526	19261	17288
527	19295	17249
528	19337	17217
529	19377	17183
530	19416	17149
531	19456	17115
532	19496	17082
533	19530	17043
534	19569	17009
535	19605	16972
536	19646	16939
537	19688	16907
538	19725	16870
539	19760	16832
540	19790	16791
541	19827	16754
542	19862	16717
543	19897	16678
544	19934	16642
545	19972	16606
546	20007	16569
547	20045	16534
548	20080	16496
549	20110	16454
550	20145	16416
551	20187	16383
552	20223	16347
553	20257	16308
554	20294	16272
555	20330	16235
556	20366	16198
557	20403	16161
558	20441	16126
559	20479	16091
560	20518	16056
561	20555	16020
562	20592	15984
563	20625	15944
564	20654	15902
565	20688	15863
566	20726	15828
567	20764	15792
568	20801	15756
569	20835	15717
570	20879	15687
571	20916	15650
572	20944	15607
573	20980	15570
574	21010	15529
575	21044	15491
576	21077	15451
577	21114	15415
578	21151	15379
579	21181	15338
580	21227	15308
581	21264	15272
582	21298	15234
583	21335	15197
584	21366	15157
585	21401	15120
586	21437	15082
587	21474	15046
588	21521	15017
589	21563	14985
590	21605	14951
591	21641	14915
592	21673	14875
593	21714	14841
594	21750	14805
595	21785	14767
596	21827	14734
597	21866	14699
598	21909	14667
599	21947	14631
600	21992	14600
601	22033	14566
602	22062	14525
603	22100	14489
604	22135	14451
605	22172	14416
606	22209	14379
607	22238	14338
608	22282	14306
609	22310	14264
610	22347	14228
611	22382	14190
612	22418	14153
613	22455	14116
614	22499	14084
615	22536	14048
616	22577	14014
617	22618	13981
618	22661	13948
619	22700	13913
620	22733	13874
621	22773	13839
622	22805	13800
623	22844	13765
624	22885	13731
625	22922	13694
626	22951	13653
627	22985	13615
628	23021	13578
629	23056	13540
630	23095	13505
631	23131	13468
632	23162	13429
633	23212	13400
634	23252	13365
635	23290	13329
636	23326	13292
637	23359	13254
638	23395	13217
639	23433	13181
640	23470	13145
641	23506	13108
642	23541	13070
643	23581	13035
644	23623	13001
645	23664	12967
646	23704	12933
647	23740	12896
648	23775	12858
649	23811	12821
650	23848	12785
651	23890	12751
652	23928	12715
653	23968	12680
654	24003	12643
655	24033	12602
656	24074	12568
657	24110	12531
658	24141	12492
659	24178	12455
660	24212	12417
661	24248	12380
662	24280	12341
663	24314	12303
664	24356	12269
665	24394	12233
666	24433	12198
667	24466	12159
668	24506	12124
669	24536	12084
670	24573	12048
671	24610	12012
672	24647	11976
673	24681	11938
674	24715	11900
675	24754	11864
676	24792	11828
677	24825	11790
678	24866	11755
679	24909	11722
680	24950	11687
681	24980	11647
682	25013	11609
683	25051	11573
684	25083	11534
685	25130	11502
686	25167	11466
687	25200	11428
688	25249	11397
689	25291	11362
690	25327	11325
691	25365	11289
692	25404	11254
693	25438	11216
694	25477	11180
695	25510	11142
696	25547	11105
697	25576	11065
698	25611	11028
699	25644	10990
700	25682	10954
701	25718	10917
702	25751	10879
703	25786	10841
704	25821	10804
705	25856	10767
706	25889	10729
707	25926	10692
708	25959	10654
709	25987	10614
710	26021	10577
711	26058	10540
712	26094	10503
713	26130	10466
714	26161	10428
715	26198	10391
716	26233	10354
717	26270	10317
718	26307	10281
719	26346	10245
720	26381	10208
721	26421	10173
722	26451	10134
723	26480	10094
724	26514	10057
725	26556	10022
726	26596	9987
727	26632	9950
728	26676	9916
729	26715	9880
730	26755	9845
731	26785	9806
732	26820	9769
733	26854	9732
734	26889	9694
735	26921	9656
736	26958	9620
737	26993	9582
738	27071	9561
739	27120	9528
740	27160	9493
741	27196	9456
742	27237	9421
743	27269	9383
744	27304	9345
745	27330	9305
746	27372	9270
747	27416	9236
748	27454	9200
749	27507	9169
750	27547	9133
751	27585	9097
752	27627	9062
753	27663	9025
754	27705	8990
755	27747	8955
756	27783	8918
757	27818	8881
758	27848	8842
759	27888	8806
760	27928	8771
761	27961	8733
762	28003	8698
763	28035	8660
764	28078	8625
765	28107	8586
766	28156	8553
767	28191	8516
768	28224	8478
769	28258	8440
770	28287	8401
771	28331	8367
772	28367	8330
773	28399	8292
774	28441	8257
775	28488	8223
776	28532	8188
777	28570	8152
778	28616	8118
779	28661	8084
780	28703	8048
781	28740	8012
782	28781	7976
783	28818	7939
784	28854	7902
785	28896	7867
786	28937	7831
787	28976	7795
788	29012	7758
789	29051	7722
790	29089	7686
791	29124	7648
792	29160	7611
793	29200	7575
794	29239	7539
795	29279	7503
796	29314	7466
797	29347	7428
798	29384	7392
799	29422	7355
800	29463	7319
801	29498	7282
802	29533	7245
803	29570	7208
804	29607	7171
805	29650	7136
806	29684	7099
807	29712	7060
808	29749	7023
809	29783	6986
810	29822	6949
811	29866	6914
812	29909	6879
813	29947	6843
814	29978	6804
815	30015	6768
816	30049	6730
817	30088	6694
818	30126	6657
819	30169	6622
820	30209	6586
821	30247	6549
822	30284	6513
823	30312	6474
824	30341	6436
825	30378	6399
826	30414	6362
827	30451	6325
828	30491	6289
829	30528	6252
830	30567	6216
831	30604	6179
832	30635	6141
833	30675	6105
834	30716	6069
835	30752	6032
836	30783	5994
837	30818	5957
838	30852	5920
839	30889	5883
840	30921	5845
841	30960	5809
842	30995	5772
843	31034	5736
844	31069	5699
845	31099	5661
846	31134	5624
847	31174	5587
848	31206	5550
849	31244	5513
850	31282	5477
851	31319	5440
852	31359	5404
853	31395	5367
854	31447	5333
855	31489	5297
856	31517	5259
857	31555	5222
858	31587	5184
859	31622	5147
860	31665	5112
861	31694	5074
862	31734	5037
863	31770	5000
864	31806	4964
865	31843	4927
866	31879	4890
867	31920	4854
868	31960	4817
869	31997	4781
870	32026	4743
871	32054	4705
872	32089	4668
873	32134	4632
874	32176	4596
875	32205	4558
876	32241	4521
877	32273	4484
878	32304	4446
879	32339	4409
880	32374	4372
881	32405	4335
882	32439	4298
883	32475	4261
884	32513	4224
885	32552	4188
886	32590	4151
887	32626	4115
888	32665	4078
889	32702	4041
890	32742	4005
891	32784	3969
892	32825	3933
893	32862	3896
894	32898	3859
895	32947	3824
896	32987	3787
897	33018	3750
898	33056	3713
899	33094	3677
900	33119	3639
901	33165	3603
902	33204	3566
903	33243	3530
904	33281	3493
905	33321	3457
906	33359	3420
907	33396	3383
908	33444	3348
909	33481	3311
910	33518	3274
911	33558	3238
912	33595	3201
913	33635	3164
914	33674	3128
915	33709	3091
916	33746	3054
917	33789	3018
918	33831	2981
919	33871	2945
920	33912	2908
921	33954	2872
922	33983	2835
923	34022	2798
924	34062	2761
925	34099	2724
926	34136	2688
927	34172	2651
928	34206	2614
929	34242	2577
930	34281	2540
931	34313	2503
932	34344	2466
933	34381	2429
934	34415	2392
935	34445	2355
936	34489	2318
937	34518	2281
938	34556	2244
939	34593	2208
940	34623	2170
941	34664	2134
942	34700	2097
943	34733	2060
944	34773	2023
945	34809	1987
946	34840	1949
947	34873	1912
948	34912	1876
949	34956	1839
950	34991	1802
951	35026	1766
952	35062	1729
953	35099	1692
954	35140	1655
955	35176	1618
956	35210	1582
957	35244	1545
958	35281	1508
959	35315	1471
960	35351	1434
961	35387	1397
962	35423	1361
963	35456	1324
964	35495	1287
965	35538	1250
966	35571	1213
967	35606	1177
968	35645	1140
969	35688	1103
970	35724	1066
971	35755	1029
972	35783	992
973	35812	955
974	35848	919
975	35887	882
976	35924	845
977	35966	809
978	36001	772
979	36035	735
980	36073	698
981	36111	661
982	36144	625
983	36177	588
984	36213	551
985	36245	514
986	36279	477
987	36308	440
988	36341	404
989	36370	367
990	36407	330
991	36441	293
992	36479	257
993	36516	220
994	36558	183
995	36591	146
996	36629	110
997	36665	73
998	36705	36
999	36740	0
