iter	Accuracy	Logloss
291	0.7823902201	0.4723696325
292	0.7823777203	0.4723464882
293	0.7824152198	0.4723330607
294	0.7824152198	0.4723326212
295	0.7823277209	0.4723168988
296	0.78240272	0.4722961959
297	0.782477719	0.4722805223
298	0.7824902189	0.4722727099
299	0.7824902189	0.4722713427
300	0.7825027187	0.4722546437
301	0.7826027175	0.4722443899
302	0.7825152186	0.4721855528
303	0.7825027187	0.4721683166
304	0.7824902189	0.4721327702
305	0.7824902189	0.472116706
306	0.7825277184	0.4720835521
307	0.7825027187	0.4720607985
308	0.7824902189	0.4720563063
309	0.7824902189	0.4720526443
310	0.7825027187	0.4720493728
311	0.7825277184	0.4720189045
312	0.7824652192	0.4720032796
313	0.7824652192	0.4720024008
314	0.7824527193	0.4720003012
315	0.7824527193	0.471982528
316	0.7824402195	0.4719817467
317	0.7824402195	0.471981112
318	0.7824277197	0.4719582119
319	0.7824402195	0.4719547939
320	0.7825027187	0.4719098726
321	0.782477719	0.4719004977
322	0.7824902189	0.4718696876
323	0.7824652192	0.4718516214
324	0.7824652192	0.4718502054
325	0.7824527193	0.4718283307
326	0.7824902189	0.47182794
327	0.7825027187	0.4717946397
328	0.7826277172	0.4717109981
329	0.782640217	0.4717074337
330	0.782640217	0.47170509
331	0.7826277172	0.4716893676
332	0.7825777178	0.4716788696
333	0.7825402182	0.4716611453
334	0.7825527181	0.4716598757
335	0.782640217	0.4716487431
336	0.7826152173	0.4716289191
337	0.7826152173	0.4716240852
338	0.7826027175	0.4716188118
339	0.7826027175	0.4716174935
340	0.7826027175	0.4716121224
341	0.7826527168	0.4716054331
342	0.7826027175	0.4715783338
343	0.7827027162	0.4715614395
344	0.7826777165	0.4714588529
345	0.7827027162	0.4714517729
346	0.7827027162	0.4714475737
347	0.7827027162	0.4714429351
348	0.7827027162	0.4714390777
349	0.7827277159	0.4714376129
350	0.7827277159	0.471429654
351	0.7827402157	0.4714223299
352	0.7827652154	0.4714183748
353	0.7827527156	0.471417496
354	0.7827527156	0.4714155917
355	0.7827527156	0.4714000157
356	0.7827652154	0.4713931799
357	0.782802715	0.4713881994
358	0.7827777153	0.4713859534
359	0.7828277147	0.4713697915
360	0.782802715	0.4713651529
361	0.7828152148	0.4713124191
362	0.7828152148	0.4713063645
363	0.7828527143	0.4712801442
364	0.7828902139	0.4712720388
365	0.7828527143	0.4712259456
366	0.7828527143	0.4712236019
367	0.7828527143	0.4712143247
368	0.7828527143	0.4712111997
369	0.7828652142	0.4712062193
370	0.7829402132	0.4711194528
371	0.7829277134	0.4711174509
372	0.7829152136	0.4710866895
373	0.7829402132	0.4710430377
374	0.7830152123	0.4709957727
375	0.7830152123	0.4709916224
376	0.7830277122	0.4709787319
377	0.7831152111	0.4709432831
378	0.7831027112	0.4709375215
379	0.7831027112	0.4709352266
380	0.7831152111	0.4709319551
381	0.7831152111	0.4709277072
382	0.7831902101	0.4709142308
383	0.7830777115	0.4708488507
384	0.7830652117	0.4708482648
385	0.7830527118	0.47084763
386	0.7830527118	0.4708463605
387	0.7830652117	0.4708453351
388	0.7830652117	0.4708442121
389	0.7830652117	0.4708406477
390	0.783040212	0.4708355696
391	0.7830277122	0.4708292709
392	0.7830027125	0.4708129137
393	0.7830027125	0.4707989002
394	0.7830152123	0.4707985584
395	0.7830152123	0.4707971424
396	0.7830277122	0.4707941151
397	0.7830277122	0.4707840078
398	0.7830527118	0.4707829336
399	0.7830152123	0.4707738028
400	0.7830152123	0.4707701896
401	0.7830152123	0.4707665764
402	0.7830027125	0.4707639397
403	0.7829527131	0.4707518793
404	0.7829652129	0.4707491449
405	0.7829527131	0.4707483149
406	0.7829652129	0.4707458735
407	0.7829652129	0.4707321041
408	0.7830152123	0.4707096435
409	0.7830527118	0.4706872316
410	0.7830527118	0.4706751224
411	0.783040212	0.4706689213
412	0.783040212	0.470669019
413	0.7830277122	0.4706653081
414	0.783040212	0.4706615484
415	0.7830152123	0.4706442634
416	0.7830277122	0.4706433357
417	0.7829902126	0.4706094006
418	0.7829902126	0.4706049573
419	0.7830152123	0.4706010999
420	0.7829902126	0.470594557
421	0.7829902126	0.4705937758
422	0.7829777128	0.4705934828
423	0.7829902126	0.4705927504
424	0.7830902114	0.4705793228
425	0.7830777115	0.4705785416
426	0.7830652117	0.4705748795
427	0.783040212	0.4705720475
428	0.7831027112	0.4705475361
429	0.7830902114	0.4705421163
430	0.7830777115	0.4705386007
431	0.7830902114	0.4705348898
432	0.7830902114	0.4705324484
433	0.7830902114	0.4705320578
434	0.7830027125	0.4705275168
435	0.7830027125	0.4705269797
436	0.7830277122	0.4705229759
437	0.7830277122	0.4705170189
438	0.783040212	0.4705143334
439	0.7830527118	0.4704934841
440	0.7830527118	0.4704934841
441	0.783040212	0.4704853787
442	0.783040212	0.470485281
443	0.7830027125	0.4704657012
444	0.7829652129	0.4704086707
445	0.7830652117	0.4703552045
446	0.7830652117	0.470351396
447	0.7830652117	0.4703487593
448	0.7831152111	0.4703429
449	0.7830902114	0.4703128223
450	0.7830902114	0.4703127734
451	0.7831027112	0.4703105274
452	0.7831277109	0.4702991994
453	0.7831152111	0.4702888968
454	0.7831152111	0.4702881644
455	0.7830777115	0.4702601374
456	0.7830777115	0.4702596003
457	0.7829902126	0.4702425106
458	0.7829902126	0.4702422177
459	0.7831027112	0.470167121
460	0.7831027112	0.4701634101
461	0.7831027112	0.4701578437
462	0.7831027112	0.4701497384
463	0.7831027112	0.4701347971
464	0.7831027112	0.4701301097
465	0.7829652129	0.4700626789
466	0.7829652129	0.4700624348
467	0.7829527131	0.4700597493
468	0.7829902126	0.4700346519
469	0.7829652129	0.4700318199
470	0.7829777128	0.4700293297
471	0.7829777128	0.4700286461
472	0.7829777128	0.4700261071
473	0.7830277122	0.4699660004
474	0.7829902126	0.4699618989
475	0.7830027125	0.4699611177
476	0.7830027125	0.4699611177
477	0.7830152123	0.4699565767
478	0.7830027125	0.4699550631
479	0.7830027125	0.469951108
480	0.7829902126	0.4699498873
481	0.7830027125	0.4699487155
482	0.783040212	0.4699421726
483	0.7831027112	0.4698735699
484	0.7830027125	0.469860533
485	0.7830027125	0.4698486191
486	0.7830027125	0.4698473007
487	0.7829902126	0.4698445176
488	0.7830152123	0.4698415879
489	0.7830027125	0.4698363145
490	0.7829527131	0.4698167347
491	0.7829652129	0.4698159046
492	0.7829527131	0.4698048696
493	0.7829652129	0.4698029165
494	0.7830027125	0.4697830926
495	0.7830027125	0.469782116
496	0.783040212	0.4697658076
497	0.7830652117	0.4697619991
498	0.7830527118	0.4697577511
499	0.7830652117	0.469754089
500	0.7829277134	0.469735974
501	0.7829402132	0.4697353392
502	0.7829402132	0.4697347045
503	0.7830152123	0.4696943241
504	0.7830152123	0.4696888066
505	0.7829652129	0.4696710334
506	0.7830152123	0.4696680061
507	0.7830152123	0.4696661995
508	0.7830027125	0.4696656136
509	0.7830027125	0.4696647347
510	0.7830027125	0.4696609261
511	0.7830152123	0.4696602425
512	0.7830027125	0.4696534555
513	0.7829652129	0.4696519907
514	0.7829527131	0.4696443736
515	0.7829527131	0.4696431529
516	0.7829652129	0.4696287
517	0.7831027112	0.4695930559
518	0.7831027112	0.4695878313
519	0.7831152111	0.4695826556
520	0.7831152111	0.4695826068
521	0.7830902114	0.46957831
522	0.7830902114	0.469548867
523	0.7831527106	0.4695234278
524	0.7831402107	0.4695135647
525	0.7831152111	0.4695051175
526	0.7831152111	0.4695040433
527	0.7831152111	0.4695029203
528	0.7831277109	0.4694875396
529	0.7831652104	0.4694781647
530	0.7831777103	0.4694770417
531	0.7831902101	0.4694640536
532	0.7832152098	0.4694605868
533	0.7832152098	0.4694558017
534	0.7832402095	0.4694114663
535	0.7832402095	0.4694106851
536	0.7832527093	0.4694055094
537	0.7831902101	0.469334856
538	0.7832902089	0.4693275318
539	0.7832402095	0.4693251881
540	0.7832527093	0.4693245534
541	0.7832652092	0.4693220632
542	0.7832527093	0.4693211354
543	0.7832527093	0.4693205983
544	0.7832402095	0.4693166921
545	0.7832402095	0.4693122977
546	0.7832277097	0.4693094168
547	0.7832277097	0.4692752864
548	0.7832152098	0.4692695248
549	0.7832152098	0.4692695736
550	0.7832277097	0.4692684506
551	0.7832277097	0.4692666928
552	0.7832277097	0.4692663021
553	0.7832277097	0.4692653744
554	0.7832277097	0.4692650815
555	0.78320271	0.4692638608
556	0.7832527093	0.4692495543
557	0.7833027087	0.4692329529
558	0.7833152086	0.4692256776
559	0.7833152086	0.4692248964
560	0.7833277084	0.4692235292
561	0.7833152086	0.4692194766
562	0.7833777078	0.4692095157
563	0.7833277084	0.4692088322
564	0.7833277084	0.4692078556
565	0.7833277084	0.4692075626
566	0.783277709	0.4691644968
567	0.783277709	0.4691534618
568	0.783277709	0.4691421338
569	0.7832652092	0.4691383741
570	0.7833402082	0.4691209426
571	0.7833402082	0.46911064
572	0.7833402082	0.4691096635
573	0.7833402082	0.4691072709
574	0.7833527081	0.4691064409
575	0.7833527081	0.4691059526
576	0.7833277084	0.4691039995
577	0.7832902089	0.4691015581
578	0.7833027087	0.4690957965
579	0.7833027087	0.4690957476
580	0.7833902076	0.4690749471
581	0.7834027075	0.4690726522
582	0.7834027075	0.469069869
583	0.7833777078	0.4690595176
584	0.7833902076	0.4690575157
585	0.7833402082	0.4690494103
586	0.7833777078	0.4690481408
587	0.7834027075	0.4690454553
588	0.7833652079	0.4690250454
589	0.7834277072	0.4690099577
590	0.7833902076	0.4690071257
591	0.7833277084	0.4689938446
592	0.7833277084	0.4689937958
593	0.7833527081	0.4689889619
594	0.7833527081	0.468987497
595	0.7833902076	0.4689853486
596	0.7833652079	0.468979294
597	0.7833527081	0.4689770479
598	0.7833902076	0.4689683078
